sample,prediction,true_label,uncertainty,confidence
292,[9.],[9],0.0625,0.5000004434044276
293,[2.],[2],0.1875,0.5000004433942741
294,[0.],[0],0.0,0.5000004434724743
295,[4.],[4],0.1875,0.5000004434475385
296,[0.],[0],0.0,0.5000004433294293
297,[0.],[0],0.0,0.5000004433992217
298,[2.],[2],0.3125,0.500000443264448
299,[8.],[8],0.0,0.5000004434305781
300,[4.],[4],0.75,0.5000004433973809
301,[7.],[7],0.0,0.5000004434093545
302,[1.],[1],0.0,0.5000004435150737
303,[2.],[2],0.3125,0.5000004431898354
304,[4.],[4],0.375,0.500000443453639
305,[0.],[0],0.0625,0.5000004432949634
306,[2.],[2],0.125,0.5000004433494696
307,[7.],[7],0.1875,0.5000004434563305
308,[4.],[4],0.0,0.500000443427924
309,[3.],[3],0.25,0.5000004433319849
310,[3.],[3],0.0625,0.5000004434545916
311,[0.],[0],0.0,0.5000004433960153
312,[0.],[0],0.0,0.500000443449386
313,[3.],[3],0.4375,0.5000004433689985
314,[1.],[1],0.0,0.5000004434785059
315,[9.],[9],0.1875,0.5000004434140416
316,[6.],[6],0.1875,0.5000004433416776
317,[5.],[5],0.125,0.5000004433194337
318,[2.],[2],0.4375,0.5000004433634869
319,[5.],[5],0.1875,0.5000004433742564
320,[1.],[9],0.5,0.5000004434739108
321,[7.],[2],0.1875,0.500000443474995
322,[9.],[9],0.0625,0.5000004434042019
323,[3.],[3],0.25,0.5000004434482712
324,[5.],[0],0.6875,0.5000004434125402
325,[4.],[4],0.625,0.50000044347427
326,[2.],[2],0.25,0.5000004433068499
327,[0.],[0],0.0625,0.500000443347512
328,[7.],[7],0.4375,0.5000004434334154
329,[1.],[1],0.0,0.5000004435167836
330,[1.],[1],0.0,0.5000004435106241
331,[2.],[2],0.0625,0.5000004432494178
332,[1.],[1],0.0,0.5000004435073357
333,[5.],[5],0.375,0.5000004434400469
334,[3.],[3],0.125,0.5000004434156894
335,[3.],[3],0.0625,0.5000004434696257
336,[9.],[9],0.3125,0.5000004434214946
337,[7.],[7],0.0,0.5000004433552551
338,[8.],[8],0.5625,0.5000004433258767
339,[6.],[6],0.125,0.5000004434042896
340,[3.],[5],0.375,0.5000004434514997
341,[6.],[6],0.375,0.5000004430790477
342,[1.],[1],0.0,0.5000004435252904
343,[3.],[3],0.0,0.5000004434330404
344,[8.],[8],0.1875,0.5000004434414247
345,[1.],[1],0.0,0.5000004434812049
346,[0.],[0],0.25,0.5000004434633438
347,[8.],[5],0.625,0.5000004434366274
348,[1.],[1],0.0,0.5000004434960515
349,[3.],[3],0.6875,0.5000004434465641
350,[1.],[1],0.25,0.5000004434938472
351,[5.],[5],0.0,0.5000004434203646
352,[5.],[5],0.625,0.500000443352305
353,[6.],[6],0.1875,0.5000004433549359
354,[1.],[1],0.0,0.5000004435023007
355,[8.],[8],0.1875,0.5000004434487099
356,[5.],[5],0.0,0.5000004434349993
357,[1.],[1],0.125,0.5000004435079861
358,[7.],[7],0.3125,0.500000443269865
359,[9.],[9],0.4375,0.5000004434318112
360,[4.],[4],0.0,0.5000004431157407
361,[6.],[6],0.0,0.5000004434170314
362,[2.],[2],0.3125,0.5000004432558234
363,[2.],[2],0.1875,0.5000004433690685
364,[5.],[5],0.0,0.5000004434329229
365,[0.],[0],0.0,0.5000004434850384
366,[8.],[6],0.75,0.5000004432209622
367,[5.],[5],0.0625,0.5000004432555138
368,[6.],[6],0.3125,0.5000004434265243
369,[3.],[3],0.125,0.5000004434212749
370,[7.],[7],0.0,0.5000004433971248
371,[2.],[2],0.125,0.5000004432331233
372,[0.],[0],0.0,0.5000004433568743
373,[8.],[8],0.25,0.5000004434169785
374,[8.],[8],0.0,0.5000004434369905
375,[5.],[5],0.0,0.5000004434350717
376,[9.],[4],0.4375,0.5000004434903501
377,[1.],[1],0.0625,0.5000004435076768
378,[1.],[1],0.0,0.5000004434868333
379,[4.],[4],0.0,0.5000004434723566
380,[0.],[0],0.0625,0.5000004432971114
381,[7.],[3],0.3125,0.5000004429326764
382,[3.],[3],0.0,0.5000004433445578
383,[7.],[7],0.0,0.5000004434593806
384,[6.],[6],0.0,0.5000004433915497
385,[1.],[1],0.0,0.5000004435171999
386,[6.],[6],0.3125,0.5000004434624393
387,[2.],[2],0.3125,0.5000004430971303
388,[1.],[1],0.0,0.5000004434761403
389,[9.],[9],0.4375,0.5000004434369348
390,[2.],[2],0.0625,0.5000004433641548
391,[8.],[8],0.375,0.500000443422351
392,[6.],[6],0.0,0.5000004434583212
393,[1.],[1],0.0625,0.5000004435187517
394,[9.],[9],0.1875,0.500000443427892
395,[5.],[5],0.3125,0.5000004434430788
396,[2.],[2],0.0,0.5000004433683289
397,[5.],[5],0.0,0.5000004434741437
398,[4.],[4],0.0625,0.5000004434247571
399,[4.],[4],0.0,0.5000004434101721
400,[2.],[2],0.375,0.5000004433941562
401,[8.],[8],0.0625,0.5000004434010632
402,[3.],[3],0.1875,0.500000443027457
403,[4.],[8],0.6875,0.5000004434267116
404,[2.],[2],0.1875,0.5000004433999765
405,[4.],[4],0.0,0.5000004431658148
406,[5.],[5],0.5,0.500000443379986
407,[0.],[0],0.0625,0.5000004433501962
408,[3.],[3],0.125,0.5000004434505346
409,[1.],[1],0.0,0.5000004434971772
410,[7.],[7],0.0,0.5000004431749684
411,[7.],[7],0.0625,0.5000004435054489
412,[5.],[5],0.4375,0.5000004433803946
413,[7.],[7],0.0,0.5000004434178752
414,[9.],[9],0.4375,0.5000004434737416
415,[7.],[7],0.0,0.5000004434508829
416,[1.],[1],0.0,0.500000443496216
417,[9.],[9],0.0,0.5000004434606002
418,[2.],[2],0.0,0.5000004434247098
419,[1.],[1],0.0,0.5000004435060696
420,[4.],[4],0.375,0.500000443275774
421,[2.],[2],0.5625,0.5000004433340277
422,[9.],[9],0.1875,0.5000004434580005
423,[2.],[2],0.0,0.5000004433205044
424,[0.],[0],0.0,0.500000443383563
425,[4.],[4],0.6875,0.5000004429772151
426,[9.],[9],0.0,0.5000004434648406
427,[1.],[1],0.0,0.5000004435309137
428,[4.],[4],0.0625,0.5000004434371806
429,[8.],[8],0.25,0.5000004434227255
430,[1.],[1],0.0,0.5000004435184952
431,[8.],[8],0.1875,0.5000004431299703
432,[4.],[4],0.5,0.5000004433843462
433,[5.],[5],0.4375,0.5000004433399102
434,[9.],[9],0.0,0.5000004434773317
435,[8.],[8],0.5,0.5000004434377237
436,[8.],[8],0.0625,0.5000004434507184
437,[3.],[3],0.5625,0.5000004432361304
438,[7.],[7],0.0,0.5000004434480304
439,[6.],[6],0.0625,0.5000004434753205
440,[0.],[0],0.0,0.5000004433877016
441,[0.],[0],0.0,0.5000004434566467
442,[3.],[3],0.0,0.5000004434374933
443,[0.],[0],0.375,0.5000004434180447
444,[2.],[2],0.3125,0.5000004434502157
445,[0.],[6],0.125,0.5000004432669402
446,[6.],[6],0.375,0.5000004434132642
447,[4.],[4],0.625,0.5000004434267405
448,[3.],[9],0.6875,0.5000004434743133
449,[5.],[3],0.3125,0.5000004432768222
450,[3.],[3],0.375,0.5000004434370052
451,[3.],[3],0.0625,0.5000004433662945
452,[2.],[2],0.0,0.5000004433946607
453,[3.],[3],0.0625,0.5000004432688606
454,[9.],[9],0.0,0.5000004433947158
455,[1.],[1],0.0,0.5000004435025746
456,[2.],[2],0.25,0.5000004433612752
457,[6.],[6],0.5625,0.5000004434562533
458,[8.],[8],0.0,0.5000004434284094
459,[0.],[0],0.0625,0.500000443324012
460,[5.],[5],0.1875,0.500000443460489
461,[6.],[6],0.0,0.5000004429782142
462,[6.],[6],0.1875,0.5000004432467279
463,[6.],[6],0.0,0.5000004433816041
464,[9.],[3],0.5625,0.5000004431390936
465,[8.],[8],0.25,0.5000004433357987
466,[8.],[8],0.1875,0.5000004434445329
467,[2.],[2],0.125,0.5000004433425596
468,[7.],[7],0.5625,0.5000004432576945
469,[5.],[5],0.0,0.5000004433410167
470,[8.],[8],0.0,0.500000443422129
471,[9.],[9],0.1875,0.5000004434519301
472,[6.],[6],0.0,0.5000004433656131
473,[1.],[1],0.0,0.5000004434866758
474,[8.],[8],0.0,0.5000004434538133
475,[4.],[4],0.125,0.5000004430811585
476,[1.],[1],0.0,0.5000004435114216
477,[2.],[2],0.1875,0.5000004432378612
478,[5.],[5],0.6875,0.5000004434522529
479,[3.],[9],0.5625,0.500000443440686
480,[1.],[1],0.0,0.5000004435215867
481,[9.],[9],0.0,0.5000004434653426
482,[7.],[7],0.0,0.5000004423307213
483,[5.],[5],0.75,0.5000004342430705
484,[4.],[4],0.0,0.5000004434435106
485,[0.],[0],0.0,0.5000004434596268
486,[8.],[8],0.5625,0.5000004432354809
487,[9.],[9],0.0625,0.5000004434377344
488,[9.],[9],0.25,0.5000004434569915
489,[1.],[1],0.0,0.5000004435086199
490,[0.],[0],0.1875,0.5000004433575659
491,[5.],[5],0.0,0.5000004434605608
492,[2.],[2],0.625,0.5000004431857705
493,[3.],[3],0.0,0.5000004432888513
494,[7.],[7],0.0,0.500000443419959
495,[2.],[8],0.75,0.500000443407144
496,[9.],[9],0.0625,0.5000004434830753
497,[4.],[4],0.375,0.5000004434850536
498,[0.],[0],0.4375,0.5000004434902994
499,[6.],[6],0.0,0.5000004434075062
500,[3.],[3],0.0,0.5000004433386241
501,[9.],[9],0.0625,0.5000004433964764
502,[3.],[5],0.6875,0.5000004434076629
503,[2.],[2],0.0,0.5000004432145336
504,[1.],[1],0.0,0.5000004435113968
505,[3.],[3],0.0625,0.5000004434274642
506,[1.],[1],0.0,0.5000004435103432
507,[5.],[3],0.5625,0.5000004434347501
508,[6.],[6],0.375,0.5000004434689969
509,[5.],[5],0.0625,0.5000004434146303
510,[7.],[7],0.25,0.500000443334928
511,[4.],[4],0.625,0.5000004434621742
512,[2.],[2],0.0625,0.5000004434039109
513,[2.],[2],0.25,0.5000004431884415
514,[6.],[6],0.5,0.5000004431538659
515,[3.],[3],0.375,0.5000004434663262
516,[2.],[2],0.125,0.500000443281205
517,[6.],[6],0.0,0.500000443405982
518,[5.],[5],0.0,0.5000004433976013
519,[4.],[4],0.125,0.5000004434670714
520,[8.],[8],0.1875,0.5000004434653471
521,[9.],[9],0.125,0.5000004434596348
522,[7.],[7],0.5625,0.5000004432627984
523,[1.],[1],0.125,0.5000004430970991
524,[3.],[3],0.25,0.5000004432667069
525,[0.],[0],0.0,0.5000004434526623
526,[3.],[3],0.125,0.5000004434273893
527,[8.],[8],0.25,0.500000443340081
528,[2.],[3],0.75,0.5000004433582145
529,[1.],[1],0.0,0.500000443507528
530,[9.],[9],0.5625,0.5000004434825738
531,[6.],[3],0.625,0.5000004432598332
532,[4.],[4],0.1875,0.500000443484062
533,[4.],[4],0.125,0.5000004434146426
534,[6.],[6],0.0625,0.500000443417388
535,[4.],[4],0.0,0.5000004433562943
536,[2.],[2],0.5,0.500000443225388
537,[1.],[1],0.0,0.5000004435177136
538,[8.],[8],0.25,0.5000004434082552
539,[2.],[2],0.0625,0.5000004434147372
540,[5.],[5],0.0,0.5000004433642362
541,[4.],[4],0.0,0.5000004434486839
542,[8.],[8],0.6875,0.500000443204575
543,[9.],[8],0.625,0.5000004431815855
544,[4.],[4],0.0,0.5000004433930247
545,[0.],[0],0.0,0.5000004434544462
546,[0.],[0],0.0,0.5000004433681442
547,[2.],[2],0.375,0.5000004433076658
548,[3.],[3],0.125,0.5000004434471966
549,[2.],[2],0.3125,0.500000443354004
550,[7.],[7],0.3125,0.5000004434587609
551,[2.],[7],0.625,0.5000004434501368
552,[0.],[0],0.3125,0.5000004434378224
553,[6.],[8],0.5625,0.5000004433224501
554,[7.],[7],0.125,0.5000004433805352
555,[4.],[4],0.0,0.5000004434080881
556,[4.],[4],0.0,0.5000004432357145
557,[7.],[7],0.0625,0.5000004433825314
558,[9.],[9],0.125,0.5000004434901433
559,[6.],[6],0.25,0.5000004432999511
560,[9.],[9],0.0,0.5000004434449584
561,[0.],[0],0.0625,0.5000004433653269
562,[9.],[9],0.1875,0.500000443404396
563,[8.],[8],0.25,0.5000004434387115
564,[0.],[0],0.125,0.5000004434597254
565,[4.],[4],0.5,0.500000443466384
566,[6.],[6],0.5625,0.5000004434491511
567,[0.],[0],0.0,0.5000004434405538
568,[6.],[6],0.0625,0.5000004434434149
569,[3.],[3],0.3125,0.5000004433875888
570,[5.],[5],0.3125,0.500000443382312
571,[9.],[4],0.4375,0.5000004434476086
572,[8.],[8],0.375,0.5000004434754626
573,[3.],[3],0.0,0.5000004434101689
574,[3.],[3],0.0,0.5000004434630512
575,[9.],[9],0.0,0.500000443458772
576,[3.],[3],0.0625,0.5000004433902491
577,[3.],[3],0.1875,0.5000004434504963
578,[7.],[3],0.5625,0.5000004434225042
579,[7.],[7],0.0,0.5000004434600839
580,[8.],[8],0.0,0.5000004434518653
581,[0.],[0],0.0625,0.5000004433246305
582,[2.],[8],0.4375,0.5000004433880818
583,[2.],[2],0.5,0.500000443181513
584,[1.],[1],0.0,0.5000004435011371
585,[7.],[7],0.0,0.5000004434423803
586,[0.],[0],0.0,0.5000004434292474
587,[6.],[6],0.1875,0.500000443286791
588,[5.],[5],0.0625,0.5000004434045981
589,[4.],[4],0.0,0.5000004433781913
590,[3.],[3],0.0,0.5000004433803391
591,[8.],[8],0.5,0.5000004434324405
592,[0.],[0],0.0,0.5000004434246412
593,[9.],[9],0.0625,0.5000004434281441
594,[6.],[6],0.0,0.5000004434571372
595,[3.],[3],0.125,0.500000443429164
596,[8.],[8],0.5,0.5000004433222794
597,[0.],[0],0.4375,0.5000004433717107
598,[9.],[9],0.0625,0.500000443463375
599,[9.],[9],0.0625,0.5000004433905406
600,[6.],[6],0.0,0.5000004434362337
601,[8.],[8],0.1875,0.500000443423554
602,[6.],[6],0.1875,0.5000004432655487
603,[8.],[8],0.4375,0.5000004434576489
604,[5.],[5],0.0625,0.5000004434490984
605,[7.],[7],0.625,0.500000443467365
606,[8.],[8],0.375,0.5000004434307493
607,[6.],[6],0.0,0.5000004433871829
608,[0.],[0],0.0,0.5000004434263019
609,[2.],[2],0.125,0.5000004433115508
610,[6.],[4],0.625,0.5000004433310791
611,[0.],[0],0.125,0.5000004433425189
612,[2.],[2],0.4375,0.5000004431297643
613,[2.],[2],0.3125,0.5000004434799731
614,[3.],[3],0.25,0.5000004434959701
615,[1.],[1],0.4375,0.500000443423244
616,[9.],[9],0.25,0.5000004434659591
617,[7.],[7],0.0625,0.5000004432488182
618,[5.],[5],0.1875,0.5000004433856312
619,[1.],[1],0.5,0.500000443399232
620,[0.],[0],0.0,0.5000004434388136
621,[8.],[8],0.125,0.5000004434666723
622,[4.],[4],0.0,0.500000443451384
623,[6.],[6],0.0,0.5000004434458564
624,[1.],[2],0.3125,0.500000443489162
625,[6.],[6],0.1875,0.5000004432666094
626,[7.],[7],0.0,0.5000004433364021
